         94324 function calls (93288 primitive calls) in 20.635 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      510    0.000    0.000    0.000    0.000 {method 'is_dir' of 'nt.DirEntry' objects}
      827    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       12    0.000    0.000    0.025    0.002 context.py:324(_Popen)
      827    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
    70/19    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
        1    0.000    0.000    0.096    0.096 pool.py:677(_terminate_pool)
      827    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       24    0.000    0.000    0.003    0.000 reduction.py:58(dump)
       88    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
        1    0.000    0.000    0.000    0.000 _base.py:569(_refresh)
       12    0.000    0.000    0.000    0.000 subprocess.py:282(_args_from_interpreter_flags)
       77    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      284    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
      220    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      127    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       71    0.000    0.000    0.000    0.000 inspect.py:494(unwrap)
        1    0.000    0.000    0.000    0.000 synchronize.py:210(Condition)
        1    0.000    0.000    0.000    0.000 geoai.py:15(<module>)
       90    0.000    0.000    0.001    0.000 popen_spawn_win32.py:117(poll)
       12    0.000    0.000    0.026    0.002 process.py:110(start)
      282    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
       24    0.000    0.000    0.000    0.000 synchronize.py:100(__getstate__)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.026    0.026 pool.py:311(_repopulate_pool_static)
       44    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
       12    0.000    0.000    0.000    0.000 spawn.py:78(get_command_line)
       12    0.000    0.000    0.000    0.000 pathlib.py:64(parse_parts)
       13    0.000    0.000    0.000    0.000 util.py:186(__init__)
      107    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
       12    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
     23/8    0.000    0.000    0.001    0.000 sre_parse.py:435(_parse_sub)
      435    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      112    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       13    0.000    0.000    0.098    0.008 util.py:205(__call__)
        8    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       18    0.000    0.000    0.000    0.000 iostream.py:197(schedule)
       16    0.000    0.000    0.001    0.000 iostream.py:386(write)
      379    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        3    0.000    0.000    2.451    0.817 __init__.py:1(<module>)
        9    0.000    0.000    0.004    0.000 re.py:289(_compile)
      470    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      374    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
      352    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      635    0.000    0.000    0.000    0.000 inspect.py:2552(default)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method nt.lstat}
      172    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.WriteFile}
      348    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       11    0.000    0.000    0.002    0.000 <frozen zipimport>:63(__init__)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        1    0.000    0.000    0.032    0.032 pool.py:183(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      151    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
       44    0.000    0.000    0.000    0.000 enum.py:81(__init__)
       12    0.000    0.000    0.000    0.000 ntpath.py:61(isabs)
       71    0.000    0.000    0.003    0.000 inspect.py:3111(signature)
      120    0.000    0.000    0.000    0.000 context.py:351(get_spawning_popen)
        1    0.000    0.000    0.000    0.000 nd.py:15(<module>)
      195    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.031    0.031 _mp.py:15(<module>)
       44    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
       11    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
        8    0.000    0.000    0.003    0.000 sre_compile.py:759(compile)
       18    0.000    0.000    0.000    0.000 ntpath.py:180(split)
      134    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 mixins.py:15(<module>)
    66/28    0.000    0.000    0.000    0.000 _base.py:520(fixcol)
        1    0.000    0.000    0.000    0.000 topographic.py:15(<module>)
       26    0.000    0.000    0.000    0.000 _base.py:17(_add_attr)
      107    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      107    0.000    0.000    0.000    0.000 importer.py:238(find_spec)
    13/10    0.000    0.000    0.163    0.016 {built-in method builtins.__import__}
       24    0.000    0.000    0.000    0.000 queues.py:356(__getstate__)
       71    0.000    0.000    0.003    0.000 inspect.py:2859(from_callable)
        1    0.000    0.000    0.000    0.000 conversion.py:15(<module>)
      400    0.000    0.000    0.000    0.000 inspect.py:2556(annotation)
       10    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       50    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      235    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       12    0.000    0.000    0.000    0.000 process.py:153(is_alive)
        1    0.000    0.000    0.030    0.030 ga.py:15(<module>)
       20    0.000    0.000    0.000    0.000 threading.py:1126(is_alive)
        3    0.000    0.000    0.000    0.000 threading.py:795(__init__)
       70    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      136    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       10    0.000    0.000    0.000    0.000 pathlib.py:682(_parse_args)
        7    0.000    0.000    0.001    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.023    0.023 na.py:15(<module>)
        4    0.000    0.000    0.000    0.000 threading.py:228(__init__)
        1    0.000    0.000   20.635   20.635 interactiveshell.py:2694(safe_execfile)
        1    0.000    0.000    0.000    0.000 stats.py:15(<module>)
       12    0.000    0.000    0.003    0.000 spydercustomize.py:289(_patched_preparation_data)
      145    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      132    0.000    0.000    0.000    0.000 enum.py:244(<genexpr>)
        1    0.000    0.000    0.000    0.000 nax.py:15(<module>)
        1    0.000    0.000    0.004    0.004 connection.py:10(<module>)
        8    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1594(<setcomp>)
        1    0.000    0.000    0.000    0.000 ba.py:15(<module>)
      284    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       44    0.000    0.000    0.000    0.000 enum.py:415(__getattr__)
        1    0.000    0.000    0.027    0.027 _ga.py:15(<module>)
        2    0.000    0.000    0.024    0.012 pathlib.py:1166(glob)
        1    0.000    0.000    0.000    0.000 cartography.py:15(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
        1    0.000    0.000    0.000    0.000 aviation.py:15(<module>)
       65    0.000    0.000    0.000    0.000 _base.py:537(propfactory)
       71    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.003    0.003 utils.py:15(<module>)
       92    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       15    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
       48    0.000    0.000    0.000    0.000 random.py:237(_randbelow_with_getrandbits)
      310    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      142    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 md.py:15(<module>)
       12    0.000    0.000    0.000    0.000 _base.py:57(passthrough_attr)
       71    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        8    0.000    0.000    0.001    0.000 sre_parse.py:937(parse)
       94    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       12    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
       22    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 analysis.py:15(<module>)
        1    0.000    0.000    0.000    0.000 locref.py:15(<module>)
        3    0.000    0.000    0.000    0.000 connection.py:540(Pipe)
       48    0.000    0.000    0.000    0.000 connection.py:173(fileno)
        4    0.000    0.000   16.756    4.189 threading.py:556(wait)
       36    0.000    0.000    0.000    0.000 spawn.py:87(<genexpr>)
        8    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      220    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       12    0.000    0.000    0.000    0.000 pool.py:179(Process)
       24    0.000    0.000    0.000    0.000 popen_spawn_win32.py:97(duplicate_for_child)
        1    0.000    0.000    0.005    0.005 _wmx.py:2(<module>)
       21    0.000    0.000    0.000    0.000 pathlib.py:155(splitroot)
       15    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
       12    0.000    0.000    0.001    0.000 process.py:128(terminate)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
      130    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       12    0.000    0.000    0.000    0.000 process.py:224(exitcode)
      148    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        4    0.000    0.000   16.756    4.189 threading.py:280(wait)
       12    0.000    0.000    0.001    0.000 popen_spawn_win32.py:28(_close_handles)
        7    0.000    0.000    0.000    0.000 arcobjectconversion.py:65(convertArcObjectToPythonObject)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.ConnectNamedPipe}
        4    0.000    0.000    0.094    0.023 process.py:142(join)
        1    0.000    0.000    0.000    0.000 gapro.py:15(<module>)
       15    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
        8    0.000    0.000    0.000    0.000 _base.py:28(gp_fixarg)
       96    0.000    0.000    0.000    0.000 connection.py:163(readable)
       12    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.pointer}
       23    0.000    0.000    0.000    0.000 threading.py:1059(_wait_for_tstate_lock)
        3    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 geoanalytics.py:15(<module>)
       24    0.000    0.000    0.000    0.000 reduction.py:71(duplicate)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       62    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       15    0.000    0.000    0.000    0.000 typing.py:137(_type_check)
       60    0.000    0.000    0.000    0.000 popen_spawn_win32.py:57(<genexpr>)
